iter	RMSE
0	77507.53033
1	77117.84716
2	76771.17556
3	76431.74037
4	76141.07401
5	75865.17278
6	75608.94226
7	75375.7754
8	75146.62579
9	74943.74401
10	74756.69413
11	74587.45785
12	74429.14725
13	74281.31252
14	74157.21871
15	74025.70869
16	73911.17488
17	73815.33012
18	73719.078
19	73625.01211
20	73538.29935
21	73455.7246
22	73391.74086
23	73328.34238
24	73264.52862
25	73207.93124
26	73149.39232
27	73096.85556
28	73044.64684
29	73011.22085
30	72972.17167
31	72925.48222
32	72888.47583
33	72853.44718
34	72822.28247
35	72789.39235
36	72764.84438
37	72735.52487
38	72706.23621
39	72676.71465
40	72653.9705
41	72631.06468
42	72611.75331
43	72593.40676
44	72573.68949
45	72554.70867
46	72537.28863
47	72522.23234
48	72508.53301
49	72497.19596
50	72481.57128
51	72467.63812
52	72459.12854
53	72442.96364
54	72434.0763
55	72422.55814
56	72407.05763
57	72395.35692
58	72387.28213
59	72379.51522
60	72367.4921
61	72362.95348
62	72356.02456
63	72340.81356
64	72332.76426
65	72324.36161
66	72314.96115
67	72311.43014
68	72305.03431
69	72301.78257
70	72296.46462
71	72290.70235
72	72280.58019
73	72278.9606
74	72268.55474
75	72254.70299
76	72250.62134
77	72244.72718
78	72243.20126
79	72230.66595
80	72228.99514
81	72227.16596
82	72222.63968
83	72215.40552
84	72205.94517
85	72200.70991
86	72197.26546
87	72193.5952
88	72191.59544
89	72190.53152
90	72186.62177
91	72182.90796
92	72180.36754
93	72173.86162
94	72165.33138
95	72160.57878
96	72156.45092
97	72154.87779
98	72149.17085
99	72143.77116
100	72141.68809
101	72134.38971
102	72132.3404
103	72130.35589
104	72123.97948
105	72122.68439
106	72116.30488
107	72109.04875
108	72107.76715
109	72103.32578
110	72100.23958
111	72094.41108
112	72086.34843
113	72083.97055
114	72077.92193
115	72076.47749
116	72068.10563
117	72064.98235
118	72061.48508
119	72060.86968
120	72059.23818
121	72045.97302
122	72042.41611
123	72038.71217
124	72033.57996
125	72025.98827
126	72022.78967
127	72016.59276
128	72014.06848
129	72008.95689
130	72006.69757
131	71998.1345
132	71992.68968
133	71990.74414
134	71988.30578
135	71986.75892
136	71981.94593
137	71974.34974
138	71974.27759
139	71971.17895
140	71966.20066
141	71963.61077
142	71958.03211
143	71948.12336
144	71946.48046
145	71945.2437
146	71944.66022
147	71942.3761
148	71937.99295
149	71936.61249
150	71933.49605
151	71929.05216
152	71928.08934
153	71923.06344
154	71910.41683
155	71908.29749
156	71899.92884
157	71899.38819
158	71897.98565
159	71895.15814
160	71893.38731
161	71892.11968
162	71889.56547
163	71888.84419
164	71886.0717
165	71884.67575
166	71883.93613
167	71880.77051
168	71879.7712
169	71879.35082
170	71873.28587
171	71870.21497
172	71867.7513
173	71860.14074
174	71853.72579
175	71841.56733
176	71840.40532
177	71838.72841
178	71834.97674
179	71833.17044
180	71824.69816
181	71823.32337
182	71819.9788
183	71809.34867
184	71804.39524
185	71804.1047
186	71800.10285
187	71797.45758
188	71796.3484
189	71788.15436
190	71785.5024
191	71778.63772
192	71777.27205
193	71773.33294
194	71772.90435
195	71767.17661
196	71754.70333
197	71753.69318
198	71753.43597
199	71744.50788
200	71743.49713
201	71742.87917
202	71742.54193
203	71740.40763
204	71735.81635
205	71732.8685
206	71726.29126
207	71726.19613
208	71724.72451
209	71723.45111
210	71718.7332
211	71714.51621
212	71713.41431
213	71710.30662
214	71709.71091
215	71704.01842
216	71699.58597
217	71687.97869
218	71678.29275
219	71677.28146
220	71672.79679
221	71668.02603
222	71660.20565
223	71659.62763
224	71656.63811
225	71653.60688
226	71651.63316
227	71648.71584
228	71644.23489
229	71640.67192
230	71639.72731
231	71637.40966
232	71635.45823
233	71631.16579
234	71628.97645
235	71620.55877
236	71618.55804
237	71616.71805
238	71615.89063
239	71605.64509
240	71597.69927
241	71595.55763
242	71592.95803
243	71592.61642
244	71589.57868
245	71585.67195
246	71577.34098
247	71577.03505
248	71576.43224
249	71569.06811
250	71568.85965
251	71564.04546
252	71562.65333
253	71559.4497
254	71558.03903
255	71545.3202
256	71533.67661
257	71531.54051
258	71526.9097
259	71525.72065
260	71518.46421
261	71516.1782
262	71514.18256
263	71511.61936
264	71509.72501
265	71509.19663
266	71507.77544
267	71504.89337
268	71493.81069
269	71490.93374
270	71490.00707
271	71488.35587
272	71487.16325
273	71483.45136
274	71480.73844
275	71479.06392
276	71476.59812
277	71473.47008
278	71469.9996
279	71466.25689
280	71463.43042
281	71461.3098
282	71461.07945
283	71457.13943
284	71455.49427
285	71454.30388
286	71452.77294
287	71450.14771
288	71448.65343
289	71448.57288
290	71445.70569
291	71441.87858
292	71441.53667
293	71438.26978
294	71434.21124
295	71429.48123
296	71425.55046
297	71422.14568
298	71420.43239
299	71418.58198
300	71416.6782
301	71414.42283
302	71411.39317
303	71408.42991
304	71401.53521
305	71398.60655
306	71398.08677
307	71397.12596
308	71396.65295
309	71395.79965
310	71390.95397
311	71387.09898
312	71386.2663
313	71385.13119
314	71382.26095
315	71381.2028
316	71372.72045
317	71369.0919
318	71365.5305
319	71363.16693
320	71352.34714
321	71348.75622
322	71345.86896
323	71344.90718
324	71341.52957
325	71338.7035
326	71337.82636
327	71333.77153
328	71331.20699
329	71330.40843
330	71327.11879
331	71323.8591
332	71321.5015
333	71316.30602
334	71315.45636
335	71315.0089
336	71314.28373
337	71311.20339
338	71308.19467
339	71306.84857
340	71306.47852
341	71300.06943
342	71298.31602
343	71297.70925
344	71297.15476
345	71292.52134
346	71290.9589
347	71288.08364
348	71277.97837
349	71276.67166
350	71275.12413
351	71271.96845
352	71271.8403
353	71271.47256
354	71268.48743
355	71267.41952
356	71266.66967
357	71258.63894
358	71252.5268
359	71252.17577
360	71251.1209
361	71250.80991
362	71250.52462
363	71250.26279
364	71240.75513
365	71230.66967
366	71229.94275
367	71228.67601
368	71227.38314
369	71227.14353
370	71226.32715
371	71225.45349
372	71225.21483
373	71224.39279
374	71223.82685
375	71222.94685
376	71221.162
377	71218.47529
378	71212.49152
379	71209.70486
380	71207.10303
381	71196.9037
382	71189.2134
383	71189.08074
384	71186.44543
385	71185.58344
386	71185.06452
387	71181.9872
388	71176.13982
389	71170.52666
390	71167.68928
391	71162.29491
392	71162.03585
393	71154.56419
394	71153.83297
395	71151.45893
396	71149.23966
397	71146.79435
398	71144.71962
399	71143.35874
400	71141.41995
401	71140.95869
402	71140.28653
403	71138.51089
404	71112.88359
405	71110.59389
406	71110.37908
407	71110.02911
408	71109.32742
409	71107.4986
410	71101.50162
411	71088.85858
412	71082.46339
413	71080.91366
414	71080.26335
